RAND40499	17q21.31 deletion syndrome
RAND43302	17q21.31 microdeletion syndrome
RAND91807	alzheimer dementia
RAND85849	alzheimer dementias
RAND22617	alzheimer
RAND79444	alzheimer sclerosis
RAND86736	alzheimer syndrome
RAND95486	alzheimer type dementia
RAND46711	alzheimer type senile dementia
RAND52673	alzheimer's disease
RAND77962	alzheimer-type dementia
RAND27549	alzheimers disease)occipital
RAND48434	bohring opitz syndrome
RAND83523	bops
RAND81783	cardiocranial syndrome
RAND30745	cardiocranial syndrome pfeiffer type
RAND19936	chromosome 17q21.31 microdeletion syndrome
RAND35021	cognitive developmental delay
RAND55424	craniostenosis, sagittal, with congenital heart disease, mental deficiency, and mandibular ankylosis
RAND79854	craniosynostosis with congenital heart disease and intellectual disability syndrome
RAND91060	delay in sexual development and/or puberty
RAND22192	delayed cognitive development
RAND76274	delayed development
RAND59203	delayed psychomotor development
RAND72131	delayed pubertal development
RAND77410	delayed puberty
RAND93561	delayed sexual development
RAND79593	dementia
RAND28111	dementia alzheimer type
RAND16138	dementia alzheimer's type
RAND40265	dementia in alzheimer's disease
RAND22610	dementia of the alzheimer's type
RAND32170	dend syndrome
RAND87445	developmental delay
RAND67464	developmental delay in early childhood
RAND38160	developmental delay in feeding
RAND40568	developmental delay in fine motor function
RAND18376	developmental delay in social skills
RAND84315	developmental delay of fine motor function
RAND51403	developmental delay, epilepsy, neonatal diabetes syndrome
RAND90263	developmental delay, feeding
RAND26108	fine motor developmental delay
RAND68302	frank ter haar syndrome
RAND53712	global developmental delay
RAND23801	idiopathic parkinson disease
RAND79301	koolen de vries syndrome
RAND75644	koolen syndrome
RAND81788	lack of psychomotor development
RAND73998	learning difficulties
RAND86868	learning disability
RAND59633	learning disabilities
RAND81036	lewy body parkinson disease
RAND33042	lewy body parkinson's disease
RAND66368	megalocornea, multiple skeletal anomalies, and developmental delay
RAND23155	melnick-needles syndrome, autosomal recessive, formerly
RAND69768	migraine
RAND11098	migraines
RAND58753	migrainous headaches
RAND41530	monosomy 17q21.31
RAND94144	ms
RAND11730	multiple sclerosis
RAND73632	no psychomotor development
RAND53805	obesity, colitis, hypothyroidism, cardiac hypertrophy, developmental delay syndrome
RAND62420	parkinson disease
RAND73326	parkinson's disease idiopathic
RAND59550	parkinson's disease, lewy body
RAND15327	parkinson's syndrome
RAND61974	parkinsons disease
RAND64934	pfeiffer singer zschiesche syndrome
RAND39726	pfeiffer syndrome 2
RAND47066	pfeiffer-type cardiocranial syndrome
RAND34549	primary parkinsonism
RAND98234	parkinsonian disorders
RAND38062	parkinsonism
RAND31547	primary senile degenerative dementia
RAND71267	primary senile degenerative dementia
RAND40621	puberty - delayed
RAND21584	sagittal craniostenosis with congenital heart disease, mental deficiency and mandibular ankylosis
RAND68700	say meyer syndrome
RAND55361	senile dementia
RAND33232	senile dementia, alzheimer type
RAND82495	shaking palsy
RAND39304	trigonocephaly, short stature and developmental delay
RAND31785	trigonocephaly, short stature, and retarded psychomotor development
RAND10721	trigonocephaly, short stature, developmental delay syndrome
RAND79064	trigonocephaly, short stature, developmental delay syndrome (disorder)
RAND10850	unspecified delay in development
RAND16051	visceral neuropathy and brain anomaly with facial dysmorphism and developmental delay syndrome
RAND18826	visceral neuropathy and brain anomaly with facial dysmorphism and developmental delay syndrome (disorder)
RAND25901	complex febrile seizure
RAND65490	febrile convulsion
RAND94290	febrile convulsions
RAND45287	generalised tonic clonic seizure associated with fever
RAND29142	generalised tonic clonic seizures associated with fever
RAND26832	febrile seizures
RAND29419	febrile seizure
RAND76012	complex febrile seizure
RAND20946	simplefebrile seizure
RAND90470	seizure associated with fever
RAND28607	pyrexial seizures
RAND19091	simple febrile seizure
RAND42144	alcohol withdrawal seizures
RAND50359	alcohol withdrawal induced seizures
RAND87847	alcohol-related seizures
RAND51486	alcoholic seizures
RAND33031	non-epileptic seizure
RAND61476	non-epileptic seizures
RAND31677	non-epileptic attack
RAND40172	non-epileptic attacks
RAND11818	psychogenic seizure
RAND10425	psychogenic seizures
RAND67341	abnormal connection of hepatic vein to atrium
RAND99967	absent bridging vein
RAND16762	accessory atrium
RAND93431	cerebrovascular accident
RAND75226	acquired brain injury
RAND86301	angio ocul-orbit-thalam-enceph
RAND88743	angio osteohypertrophy syndrome
RAND40733	angio-osteohypertrophic syndrome
RAND28571	angio-osteohypertrophy syndromes
RAND16225	angiomatosis oculo-orbital-thalamo-encephalic syndrome
RAND31255	angiomatosis oculoorbital-thalamic syndrome
RAND90804	meningo-oculo-facial angiomatosis
RAND58713	angioosteohypertrophic syndrome
RAND97876	angioosteohypertrophy syndromes
RAND41140	angiopathies, congenital dysplastic
RAND90572	congenital dysplastic angiopathy
RAND83686	anomal portal vein termination
RAND66473	anomalous atrial bands
RAND91505	anomalous atrial bands (disorder)
RAND62837	anomalous portal vein termination
RAND45231	anomalous portal vein termination (disorder)
RAND41886	anomalous portal venous connection
RAND51232	pulmonary vein abnormality
RAND84340	anomaly of pulmonary vein
RAND59712	anomalous pulmonary vein (morphologic abnormality)(body structure)
RAND80484	anomalous valve of coron sinus
RAND12977	anomalous valve of coronary sinus
RAND67115	anomaly of the pulmonary veins, unspecified
RAND42857	anomaly of the vena cava, unspecified"
RAND94883	anomaly, scimitar
RAND26675	anoxic brain injury
RAND62058	anoxic brain damage
RAND25484	anoxic encephalopathies
RAND22945	anoxic encephalopathy
RAND67372	apoplexy
RAND96673	cerebrovascular apoplexy
RAND52858	appelt-gerken-lenz syndrome
RAND67754	apvr
RAND31261	arterioven fistula occlusion
RAND59096	arteriovenous angioma
RAND20444	Congenital arteriovenous fistula hemorrhage
RAND34627	Arteriovenous fistula hemorrhage
RAND98783	arteriovenous fistula hemorrhage
RAND20585	arteriovenous fistula infect
RAND45298	arteriovenous fistula sten
RAND85404	arteriovenous malformat skin
RAND92215	arteriovenous malformation
RAND75224	arteriovenous malformation (morphologic abnormality)
RAND39151	peripheral arteriovenous malformation
RAND94870	arteriovenous malformation of brain
RAND28452	arteriovenous malformation of cerebral vessels
RAND42851	arteriovenous malformation of precerebral vessels
RAND64066	arteriovenous malformation of precerebral vessels (disorder)
RAND21015	arteriovenous malformation of skin
RAND19916	arteriovenous malformation of spinal vessel
RAND49099	arteriovenous malformation of the gastrointestinal tract, nos
RAND89177	arteriovenous malformation of the peripheral vascular system
RAND45492	arteriovenous malformation of trunk
RAND39950	arteriovenous malformation, cerebral
RAND29117	arteriovenous malformation, intracranial
RAND41719	arteriovenous malformation, nos
RAND20399	arteriovenous malformations of the brain
RAND76086	arteriovenous malformations, cerebral
RAND98958	arteriovenous malformations, intracranial
RAND53311	arteriovenous shunt
RAND13959	arteriovenous-lymphat malforma
RAND41298	arteriovenous-lymphatic malformation
RAND97751	atresia of cardiac vein
RAND63840	atresia of vein nec
RAND49527	atrial anomalous bands
RAND26333	atrium, subdivided left
RAND82967	atriums, subdivided left
RAND67018	arteriovenous fistula
RAND20618	congenital arteriovenous anomaly
RAND12535	congenital arteriovenous malformation
RAND70064	ava
RAND33703	avm (arteriovenous malformation) intracranial
RAND53399	avm
RAND20438	congenital avm
RAND68988	ruptured avm
RAND24733	spinal avm
RAND92648	cerebral avm
RAND63692	basal ganglion infarct
RAND83186	basal ganglion stroke
RAND47424	basilar artery embolism with stroke
RAND91522	bavm
RAND60227	benign brain neoplasm
RAND85628	benign brain neoplasms
RAND18179	benign brain tumor
RAND29644	benign brain tumour
RAND50366	benign neoplasm
RAND11255	benign neoplasm of brain
RAND33804	benign neoplasm, brain
RAND84411	blue rubber bleb nevus
RAND58448	blue rubber bleb nevus syndrome
RAND53808	brain cancer
RAND34590	occipital tumour
RAND84651	brain infection
RAND66129	infectious disease of brain
RAND88449	brain cancers
RAND68906	brain damage
RAND70641	brain damage
RAND26848	anoxic brain damage
RAND62874	cerebral brain hemorrhage
RAND23790	brain hemorrhages - cerebral
RAND13481	brain infarct
RAND82936	brain infarction
RAND51991	brain infarctions
RAND18401	brain injuries
RAND22450	brain injury
RAND25623	malignant brain neoplasm
RAND80208	brain malignant neoplasms
RAND55947	brain neopl benign
RAND58844	brain neopl malignant
RAND80802	brain neopl malignant primary
RAND93004	brain neopl primary malignant
RAND43709	brain neoplasm benign
RAND28381	brain neoplasm malignant
RAND50137	brain neoplasm, benign
RAND44587	brain neoplasm, malignant
RAND88693	brain neoplasms
RAND53541	brain tumour
RAND98695	brain neoplasms, benign
RAND83958	brain neoplasms, malignant
RAND26338	brain neoplasms, malignant, primary
RAND60556	brain neoplasms, primary malignant
RAND97971	brain stem neopl
RAND49627	brain stem neoplasm
RAND36143	brain stem neoplasms
RAND74275	brain stem stroke syndrome
RAND49193	brain stem tumor
RAND77472	brain stem tumors
RAND10872	brain tissue injury
RAND62894	brain tumor - benign
RAND96279	brain tumour - benign
RAND26866	brain vascular accident
RAND68770	brain vascular accidents
RAND64405	brain vascular dis
RAND62694	brain vascular disorder
RAND78232	brain vascular disorders
RAND88956	brain ventricular neopl
RAND49593	brain ventricular neoplasm
RAND94885	brain ventricular neoplasms
RAND31971	brain ventricular tumor
RAND57587	brain ventricular tumors
RAND30911	brainstem neoplasm
RAND26308	brainstem neoplasms
RAND14044	brainstem stroke syndrome
RAND54059	brainstem stroke syndrome (disorder)
RAND21157	brainstem tumor
RAND96833	brainstem tumors
RAND38893	bregeat syndrome
RAND15133	bregeat's syndrome
RAND69803	cancer of brain
RAND47516	cancer of the brain
RAND51781	brain cancer
RAND80811	cancers, brain
RAND88021	capil-ven-lymph malform
RAND62723	capillary-venous malformation
RAND65434	capillary-venous-lymphatic malformation
RAND39870	capillary-venous-lymphatic malformation (disorder)
RAND37633	central nerv system structure
RAND88395	central nervous system structure
RAND86648	central nervous system structure (body structure)
RAND68535	central nervous systems
RAND24556	cerebellar neopl
RAND85123	cerebellar neoplasm
RAND16846	cerebellar neoplasms
RAND84826	cerebellar stroke
RAND26044	cerebellar tumor
RAND40141	cerebellar tumors
RAND11134	cerebral apoplexy
RAND81873	cerebral apoplexy, nos
RAND39685	cerebral arterial occlusion
RAND39275	cerebral arterial thrombosis
RAND13835	cerebral arteriovenous malform
RAND26252	cerebral arteriovenous malformation (disorder)
RAND50613	cerebral artery occlusion
RAND81348	cerebral artery occlusion (disorder)
RAND20562	cerebral artery occlusion nos
RAND20659	cerebral artery occlusion nos (disorder)
RAND83059	cerebral artery occlusion, nos
RAND46763	cerebral artery occlusion, unspecified
RAND85653	cerebral brain hemorrhage
RAND29738	cerebral brain hemorrhages
RAND12203	cerebral damage
RAND76868	cerebral haemorrhage nos
RAND95069	cerebral hemorrhage nos
RAND49311	cerebral infarction nos
RAND32947	cerebral infarction, nos
RAND88363	cerebral infarction, unspecified
RAND13122	cerebral infarctions
RAND18014	cerebral infarcts
RAND81670	cerebral parenchym haemorrhage
RAND17709	cerebral parenchymal haemorrhage
RAND19913	cerebral parenchymal hemorrhages
RAND53319	cerebral sinus thrombosis, embolism and/or inflammation
RAND80233	cerebral stroke
RAND46858	cerebral strokes
RAND84140	cerebral thromboses
RAND26350	cerebral thrombosis
RAND44451	cerebral thrombosis (disorder)
RAND75999	cerebral tumor (malignant)
RAND30919	cerebral tumor - malignant
RAND80154	cerebral tumour (malignant)
RAND91125	cerebral tumour - malignant
RAND35955	cerebral vascular disturbance
RAND76943	cerebral vascular events
RAND12218	cerebral vascular lesion
RAND63925	cerebral ventricle neopl
RAND55967	cerebral ventricle neoplasm
RAND95603	cerebral ventricle neoplasms
RAND27386	cerebral ventricle tumor
RAND46599	cerebral ventricle tumors
RAND64259	cerebrofacial angiomatosis
RAND54718	cerebrospinal axi
RAND57354	cerebrospinal axis
RAND16290	cerebrovascular accident
RAND34474	cerebrovascular accident due to cerebral artery occlusion
RAND61941	cerebrovascular accident due to embolus of basilar artery
RAND66274	cerebrovascular accident due to embolus of left vertebral artery
RAND80948	cerebrovascular accident due to embolus of right vertebral artery
RAND41332	cerebrovascular accident due to left carotid artery stenosis
RAND90633	cerebrovascular accident due to nonpyogenic thrombus of cerebral vein
RAND60318	cerebrovascular accident due to occlusion of cerebral artery
